round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions
0,0,3,0,3,3,9,7,7,10,0,0,0,117,4,0,0,4,2,0,0
1,0,0,0,3,3,8,7,6,10,0,0,1,121,4,0,0,4,2,0,0
2,1,0,1,3,4,7,9,7,10,0,0,1,130,4,0,0,4,2,0,0
3,0,0,1,3,4,5,9,8,9,0,0,1,142,4,0,0,4,2,0,0
4,1,0,2,3,5,2,9,7,9,0,0,1,154,4,0,0,4,2,0,0
5,0,0,2,3,5,1,9,7,10,0,0,2,157,4,0,0,4,2,0,0
6,0,0,0,3,3,1,7,7,10,1,0,2,165,4,0,0,4,2,0,0
7,0,0,0,3,3,1,8,7,11,0,0,2,177,4,0,0,4,2,0,0
8,0,5,0,8,8,0,7,8,11,0,0,2,177,4,0,0,4,2,0,0
9,0,0,0,8,8,0,7,7,10,0,0,2,183,4,0,0,4,2,0,0
10,0,0,0,8,8,1,7,6,9,0,0,1,190,4,0,0,4,2,0,0
11,0,0,0,8,8,2,5,6,10,0,0,1,200,4,0,0,4,2,0,0
12,2,0,2,6,8,3,4,5,10,0,1,2,204,4,0,0,4,2,0,0
13,4,0,6,6,12,1,3,6,9,0,0,2,208,4,0,0,4,2,0,0
14,0,2,6,8,14,0,4,6,7,0,0,2,213,4,0,0,4,2,0,0
15,0,0,6,8,14,0,6,6,7,0,0,2,222,4,0,0,4,2,0,0
16,0,0,6,8,14,0,6,4,7,0,0,4,229,4,0,0,4,2,0,0
17,1,0,7,8,15,1,7,4,7,0,0,6,237,4,0,0,4,2,0,0
18,0,0,7,8,15,0,7,4,9,0,0,7,245,4,0,0,4,2,0,0
19,0,0,7,6,13,0,7,3,10,0,1,16,250,4,0,0,4,2,0,0
20,0,0,7,6,13,1,7,4,10,0,0,26,250,4,0,0,4,2,0,0
21,0,4,7,10,17,1,9,3,11,0,0,24,254,4,0,0,4,2,0,0
22,0,0,7,10,17,2,8,2,11,0,0,24,265,4,0,0,4,2,0,0
23,4,0,11,8,19,3,7,3,12,0,1,29,265,4,0,0,4,2,0,0
24,0,0,11,8,19,3,8,2,11,0,0,29,274,4,0,0,4,2,0,0
25,3,0,14,8,22,3,9,2,13,0,0,29,284,4,0,0,4,2,0,0
26,0,1,14,9,23,2,9,2,15,0,0,30,290,4,0,0,4,2,0,0
27,0,0,14,9,23,2,9,3,14,0,0,35,296,4,0,0,4,2,0,0
28,0,0,14,9,23,1,8,3,12,0,0,40,300,4,0,0,4,2,0,0
29,0,0,14,9,23,0,6,3,12,0,0,41,307,4,0,0,4,2,0,0
30,0,0,14,9,23,1,8,3,12,0,0,45,309,4,0,0,4,2,0,0
31,0,0,14,9,23,3,7,3,10,0,0,55,313,4,0,0,4,2,0,0
32,5,0,19,9,28,4,8,4,9,0,0,55,315,4,0,0,4,2,0,0
33,0,0,19,9,28,4,7,4,11,0,0,61,315,4,0,0,4,2,0,0
34,0,0,19,9,28,4,5,4,11,0,0,63,323,4,0,0,4,2,0,0
35,0,0,19,9,28,5,5,4,10,0,0,63,333,4,0,0,4,2,0,0
36,1,0,20,9,29,5,5,3,10,0,0,68,333,4,0,0,4,2,0,0
37,3,0,23,9,32,6,4,4,10,0,0,68,338,4,0,0,4,2,0,0
38,3,0,26,9,35,5,2,4,9,0,0,68,346,4,0,0,4,2,0,0
39,0,0,26,9,35,5,1,3,9,0,0,68,357,4,0,0,4,2,0,0
40,7,0,33,9,42,5,2,4,9,0,0,68,355,4,0,0,4,2,0,0
41,0,2,33,11,44,4,1,6,9,0,0,68,365,4,0,0,4,2,0,0
42,0,5,33,16,49,6,2,5,10,0,0,69,365,4,0,0,4,2,0,0
43,0,1,33,17,50,7,1,5,9,0,0,72,366,4,0,0,4,2,0,0
44,0,0,33,17,50,5,1,5,10,0,0,72,374,4,0,0,4,2,0,0
45,0,3,33,20,53,8,1,5,8,0,0,72,378,4,0,0,4,2,0,0
46,0,3,33,23,56,9,2,5,8,0,0,72,384,4,0,0,4,2,0,0
47,0,5,33,28,61,10,0,5,8,0,0,73,390,4,0,0,4,2,0,0
48,0,0,33,28,61,9,0,5,8,0,0,73,399,4,0,0,4,2,0,0
49,0,0,33,28,61,11,0,5,8,0,0,73,410,4,0,0,4,2,0,0
50,3,0,36,28,64,11,1,4,7,0,0,73,417,4,0,0,4,2,0,0
51,7,3,43,31,74,9,3,4,6,0,0,73,417,4,0,0,4,2,0,0
52,9,0,52,31,83,11,5,5,5,0,0,73,414,4,0,0,4,2,0,0
53,4,0,56,31,87,11,5,3,5,0,0,73,422,4,0,0,4,2,0,0
54,2,0,58,31,89,10,4,2,5,0,0,80,422,4,0,0,4,2,0,0
55,3,0,61,31,92,10,4,4,5,0,0,85,428,4,0,0,4,2,0,0
56,2,5,63,36,99,9,3,5,4,0,0,86,430,4,0,0,4,2,0,0
57,2,0,65,36,101,8,4,4,3,0,0,86,435,4,0,0,4,2,0,0
58,2,0,67,36,103,7,3,4,3,0,0,86,441,4,0,0,4,2,0,0
59,9,0,76,36,112,5,3,3,3,0,0,87,441,4,0,0,4,2,0,0
60,0,2,76,38,114,9,3,3,4,0,0,87,448,4,0,0,4,2,0,0
61,0,0,76,38,114,11,2,3,4,0,0,87,456,4,0,0,4,2,0,0
62,0,0,76,38,114,10,2,5,4,0,0,87,464,4,0,0,4,2,0,0
63,0,4,76,42,118,11,2,5,4,0,0,87,471,4,0,0,4,2,0,0
64,0,0,76,42,118,11,1,5,5,0,0,87,479,4,0,0,4,2,0,0
