round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
0,0,0,0,0,0,0,17,17,0,0,0,1,115,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,17,17,0,0,0,1,120,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,17,17,0,0,0,1,132,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,17,17,0,0,0,1,142,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,4,0,4,1,16,15,0,0,0,3,142,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,3,0,3,1,15,15,1,0,1,5,147,4,0,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,3,0,3,2,16,16,2,0,0,5,152,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,3,0,3,2,15,15,1,0,0,5,157,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,3,0,3,2,16,15,1,0,0,5,166,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,3,0,3,2,16,15,1,0,0,5,179,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,2,0,2,1,16,15,1,0,0,5,186,4,0,1,4,2,0,0,1,2,1,0,10,33,0,29,0,15,0,47,0,62,0
11,0,4,2,4,6,3,16,14,0,0,0,5,192,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,7,6,11,17,2,16,13,1,0,0,5,186,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,2,9,13,22,2,16,14,0,0,0,15,177,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,5,10,18,28,0,15,15,1,0,0,16,180,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,9,18,27,0,12,14,0,0,0,16,190,4,0,1,4,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,9,18,27,0,14,14,0,0,0,20,199,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0,14,18,32,0,15,13,0,0,0,20,208,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,14,18,32,1,14,13,0,0,0,18,218,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,15,18,33,2,16,14,0,0,0,18,224,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,14,18,32,3,16,15,0,0,0,18,235,4,0,1,4,2,0,0,1,4,1,10,20,49,0,37,0,21,0,52,0,76,0
21,0,0,14,18,32,2,16,14,1,0,0,19,244,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,5,14,23,37,2,16,15,1,0,0,19,247,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,14,23,37,3,16,15,2,0,0,19,262,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2,14,25,39,3,16,14,1,0,0,20,265,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,0,18,25,43,2,15,13,0,0,0,20,270,4,0,1,4,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,16,25,41,1,14,12,0,1,0,21,281,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,16,25,41,0,14,12,0,0,0,21,291,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,4,17,29,46,0,13,11,1,0,0,21,296,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,3,17,32,49,1,12,10,0,0,0,21,299,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,14,32,46,2,14,11,1,1,0,22,309,4,0,1,4,2,0,0,1,6,1,20,30,67,0,41,0,30,0,66,0,105,0
31,6,0,20,30,50,0,14,10,2,0,1,22,312,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,20,30,50,1,13,11,2,0,0,24,316,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
